country,iso3,year,target,mortality_data,risk_factor_surveys,plan,tob_tax,smoke_free,graphic_warnings,tob_advert,tob_mass_media,alc_sales,alc_advert,alc_tax,salt,fat,child_food_marketing,milkcode,phys_mass_media,clinical_guide,cardio_therapies,total_imp,commercial_total
Tunisia,TUN,2015,0,0.5,0.5,0,0.5,0,0,0.5,NA,1,1,0.5,NA,1,0,1,1,NA,NA,7.5,5.5
Tunisia,TUN,2017,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,NA,NA,NA,1,1,0,0.5,1,0.5,0,7,4.5
Tunisia,TUN,2019,1,0.5,1,1,0.5,0,0.5,0.5,0.5,0.5,NA,0,1,1,0,0.5,0.5,0,0,9,5
Tunisia,TUN,2022,1,0.5,0.5,1,0.5,0,0.5,0.5,1,0.5,NR,0,1,1,0,0.5,0,0.5,0,9,5.5
Turkey,TUR,2015,1,0.5,1,0,0.5,1,1,1,NA,0.5,0.5,0.5,1,0,0,0,1,0,NA,9.5,6
Turkey,TUR,2017,1,1,0.5,0,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.5,0,15,11
Turkey,TUR,2019,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,0.5,1,17,10.5
Turkey,TUR,2022,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,17.5,10.5
Turkmenistan,TKM,2015,0,0.5,0.5,1,0,1,1,0.5,NA,0.5,1,0.5,1,0,0,1,1,1,0.5,11,6.5
Turkmenistan,TKM,2017,0.5,1,1,1,0,1,1,0.5,NA,0.5,1,0.5,1,1,1,0.5,1,1,0.5,14,8
Turkmenistan,TKM,2019,1,1,1,1,0,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,1,0.5,16,9.5
Turkmenistan,TKM,2022,0.5,1,1,1,0,1,1,0.5,1,1,1,1,0,0,0,0.5,1,1,1,13.5,7
Tuvalu,TUV,2015,1,0,0.5,0,0,0.5,0.5,1,NA,1,0.5,1,1,0,0,NA,1,0.5,0,8.5,5.5
Tuvalu,TUV,2017,0.5,0,1,0,0.5,0.5,0.5,1,0,NA,NA,NA,0,0,0,0,0,0.5,0.5,5,2.5
Tuvalu,TUV,2019,0.5,0,0.5,0,0,0.5,0.5,1,0,NA,NA,NA,0,0,0,0,0.5,0.5,1,5,2
Tuvalu,TUV,2022,0.5,0,0.5,0,0,0.5,0.5,1,1,NR,NR,NR,0.5,0.5,0,0,0,0.5,0.5,6,4
Uganda,UGA,2015,NA,0,0.5,0,0,0.5,0.5,0,NA,0.5,0,0.5,0,0,0,NA,1,NA,0,3.5,2
Uganda,UGA,2017,0,0,1,0,0.5,1,0.5,1,0,0.5,0,0.5,0,0,0,1,0,1,0,7,5
Uganda,UGA,2019,0,0,1,0,0,1,0.5,1,0.5,0.5,0,1,0,0,0,1,1,1,0,8.5,5.5
Uganda,UGA,2022,1,0,0.5,1,0,1,0.5,1,0.5,0.5,0,1,0,0,0,1,0,1,0,9,5.5
Ukraine,UKR,2015,0,1,0,0,0.5,0.5,1,0.5,NA,0.5,0.5,0.5,0,0,0,1,0,1,0.5,7.5,5
Ukraine,UKR,2017,0,1,0,0,1,0.5,1,0.5,0,0.5,0.5,1,0,0,0,0.5,1,1,0.5,9,5.5
Ukraine,UKR,2019,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0.5,1,1,0.5,12,5.5
Ukraine,UKR,2022,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,1,0,0.5,1,1,NA,13.5,7.5
United Arab Emirates,ARE,2015,0.5,0.5,0.5,0.5,0,0.5,0.5,1,NA,NA,NA,NA,1,NA,1,1,1,0.5,0.5,9,5
United Arab Emirates,ARE,2017,1,0.5,0.5,1,0,0.5,0.5,1,0.5,NA,NA,NA,1,1,1,0.5,1,1,1,12,6
United Arab Emirates,ARE,2019,1,0.5,1,1,0.5,0.5,0.5,1,0,0.5,1,0,1,1,0,0.5,1,1,1,13,6.5
United Arab Emirates,ARE,2022,1,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0,1,1,1,1,1,1,1,15,8.5
United Kingdom,GBR,2015,0,1,1,1,0.5,1,0.5,0.5,NA,0.5,0.5,1,1,1,1,1,1,1,1,14.5,8.5
United Kingdom,GBR,2017,0.5,1,1,1,1,1,1,0.5,1,0.5,0,0.5,1,1,1,0.5,1,1,1,15.5,9
United Kingdom,GBR,2019,0.5,1,1,1,1,1,1,0.5,1,NA,0,0.5,1,1,1,0.5,1,1,1,15,8.5
United Kingdom,GBR,2022,0.5,1,1,1,1,1,1,0.5,1,NR,0,0.5,0.5,1,1,0.5,1,1,1,14.5,8
United Republic of Tanzania,TZA,2015,NA,0,NA,NA,0,0,0,0.5,NA,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,1.5,1.5
United Republic of Tanzania,TZA,2017,1,0,0.5,1,0,0,0,0.5,NA,0.5,0,0.5,0,0,0,1,0,0,0,5,2.5
United Republic of Tanzania,TZA,2019,1,0,0.5,1,0,0,0.5,0.5,0,0.5,0,0.5,0,NA,0,1,0,1,0,6.5,3
United Republic of Tanzania,TZA,2022,1,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,1,1,1,0,6,2.5
United States of America,USA,2015,1,1,1,1,0,0,0.5,0,NA,0.5,0.5,0.5,1,1,0,0,1,0.5,NA,9.5,4
United States of America,USA,2017,1,1,1,1,0,0,0.5,0,1,0.5,0,0.5,1,1,1,0,1,0.5,NA,11,5.5
United States of America,USA,2019,1,1,1,1,0,0,0.5,0,1,0.5,0,0.5,0.5,1,1,0,1,1,NA,11,5
United States of America,USA,2022,1,1,1,1,0,0,1,0,1,0.5,0,0.5,0.5,0.5,1,0,1,1,NA,11,5
Uruguay,URY,2015,0,1,1,0,0,1,1,1,NA,0.5,0,0,1,0,1,1,NA,0,1,9.5,6.5
Uruguay,URY,2017,1,1,0.5,0.5,0.5,1,1,1,0,0.5,0,0.5,0.5,0,1,0.5,0,0,NA,9.5,6.5
Uruguay,URY,2019,1,1,0.5,1,0.5,1,1,1,NA,0.5,0,0,1,0.5,1,0.5,0,0.5,NA,11,7
Uruguay,URY,2022,1,1,0.5,1,0.5,1,1,1,0,0.5,0,0,1,1,1,0.5,0,0.5,NA,11.5,7.5
Uzbekistan,UZB,2015,1,1,0.5,0,0,0,0.5,0.5,NA,0.5,1,NA,1,1,0,1,1,0.5,0,9.5,5.5
Uzbekistan,UZB,2017,0.5,1,0.5,0.5,0,0,0.5,0.5,0,0.5,1,0.5,1,0,1,0.5,0,1,0,9,5.5
Uzbekistan,UZB,2019,1,1,1,1,0,0,0.5,0.5,0,0.5,1,0.5,1,0.5,0,0.5,1,1,0,11,5
Uzbekistan,UZB,2022,1,1,1,1,0.5,0,0.5,0.5,0,0.5,1,0.5,1,1,1,0.5,1,1,0,13,7
Vanuatu,VUT,2015,0,0,0.5,0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,NA,0.5,0,3,2
Vanuatu,VUT,2017,1,0,0.5,1,0.5,0,1,1,0,0.5,0,1,0.5,0,1,0,0,0.5,0,8.5,5.5
Vanuatu,VUT,2019,1,0,0.5,1,0.5,0,1,1,0,1,0,1,0,0,0,0,0,0.5,0,7.5,4.5
Vanuatu,VUT,2022,1,0,0.5,1,0.5,0,1,1,0,1,0,1,0.5,0.5,0,0,0,1,1,10,5.5
Venezuela,VEN,2015,NA,1,NA,NA,0.5,1,1,0,NA,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,6,5
Venezuela,VEN,2017,0,1,0.5,0,0.5,1,1,0,0,0.5,0,0.5,0,0,0,1,0,0,0,6,4.5
Venezuela,VEN,2019,1,1,0.5,0,0.5,1,1,0,0,0.5,0,0.5,0,0,0,1,0.5,1,0,8.5,4.5
Venezuela,VEN,2022,0.5,1,0.5,0,0.5,1,1,1,0,0.5,0,0.5,0.5,0,NA,0.5,1,1,0,9.5,5.5
Viet Nam,VNM,2015,1,0,0.5,1,0,0.5,1,0.5,NA,0.5,0.5,0.5,0,0,0,1,1,0.5,0,8.5,4.5
Viet Nam,VNM,2017,1,0,1,1,0,0.5,1,0.5,1,0.5,0,0.5,0,0,0,1,0,1,0,9,5
